R;Nome;Squadra;Qt.A;Qt.I;Diff.;Qt.A M;Qt.I M;Diff.M;FVM;FVM M
C;Kvaratskhelia;Napoli;33;18;15;33;18;15;238;238
C;Zaccagni;Lazio;28;20;8;28;20;8;180;180
C;Milinkovic-Savic;Lazio;25;29;-4;25;29;-4;193;193
C;Felipe Anderson;Lazio;23;19;4;23;19;4;96;96
C;El Shaarawy;Roma;23;9;14;23;9;14;44;44
C;Rabiot;Juventus;23;7;16;23;7;16;78;78
C;Luis Alberto;Lazio;22;18;4;22;17;5;88;88
C;Orsolini;Bologna;22;15;7;22;15;7;92;92
C;Strefezza;Lecce;22;13;9;22;13;9;78;78
C;Koopmeiners;Atalanta;22;15;7;22;15;7;70;70
C;Barella;Inter;21;20;1;21;19;2;73;73
C;Vlasic;Torino;21;15;6;21;15;6;68;68
C;Zielinski;Napoli;20;19;1;20;19;1;61;61
C;Pereyra;Udinese;20;18;2;20;18;2;64;67
C;Candreva;Salernitana;20;17;3;20;17;3;62;62
C;Frattesi;Sassuolo;20;16;4;20;16;4;68;68
C;Diaz B.;Milan;20;11;9;20;11;9;54;56
C;Miranchuk;Torino;20;8;12;20;8;12;42;42
C;Ferguson;Bologna;20;5;15;20;5;15;54;54
C;Ciurria;Monza;20;3;17;20;3;17;34;32
C;Lazovic;Verona;19;13;6;19;13;6;41;41
C;Calhanoglu;Inter;19;19;0;19;18;1;61;61
C;Elmas;Napoli;19;11;8;19;11;8;38;38
C;Lovric;Udinese;19;6;13;19;6;13;58;58
C;Zambo Anguissa;Napoli;18;11;7;18;12;6;40;40
C;Samardzic;Udinese;18;8;10;18;8;10;22;20
C;Baldanzi;Empoli;17;1;16;17;1;16;37;37
C;Bonaventura;Fiorentina;16;14;2;16;16;0;41;41
C;Pessina;Monza;16;13;3;16;13;3;43;43
C;Tonali;Milan;16;16;0;16;16;0;50;56
C;Kostic;Juventus;16;15;1;17;18;-1;64;64
C;Brozovic;Inter;15;15;0;15;15;0;27;30
C;Verdi;Verona;15;13;2;15;13;2;22;22
C;Chiesa;Juventus;15;25;-10;15;25;-10;35;35
C;Lobotka;Napoli;15;11;4;15;12;3;50;50
C;Fagioli;Juventus;15;3;12;15;3;12;29;29
C;Messias;Milan;14;14;0;14;14;0;20;18
C;Colpani;Monza;14;4;10;14;4;10;12;12
C;Pellegrini Lo.;Roma;13;27;-14;13;26;-13;64;64
C;Politano;Napoli;13;15;-2;13;15;-2;28;28
C;Pasalic;Atalanta;13;22;-9;13;21;-8;40;36
C;Matic;Roma;13;7;6;13;7;6;21;21
C;Mkhitaryan;Inter;13;16;-3;13;16;-3;33;30
C;Wijnaldum;Roma;13;17;-4;13;17;-4;47;47
C;Bennacer;Milan;13;10;3;13;10;3;28;31
